country,year,saving_net,saving_ratio
EU,2012,15543,7.497777777777778
EU,2013,15719,7.920000000000001
EU,2014,16375,7.895925925925926
EU,2015,16428,8.295925925925925
EU,2016,17394,8.83
EU,2017,16924,8.437037037037037
EU,2018,17636,8.763703703703705
EU,2019,20419,10.09
EU,2020,38653,15.68962962962963
EU,2021,33361,13.44888888888889
EU,2022,22601,9.467037037037036
EU,2023,27277,10.188437450083189
BE,2012,17644,14.3
BE,2013,14927,13.26
BE,2014,13858,12.74
BE,2015,11304,11.68
BE,2016,11506,11.58
BE,2017,10689,11.18
BE,2018,10554,10.94
BE,2019,14750,12.26
BE,2020,34473,19.25
BE,2021,28554,16.79
BE,2022,18497,12.84
BE,2023,25572,14.24
BG,2012,-2129,-6.93
BG,2013,-184,0.73
BG,2014,-466,-0.14
BG,2015,-733,-1.03
BG,2016,-690,-1.02
BG,2017,-505,-0.24
BG,2018,821,3.75
BG,2019,-441,0.23
BG,2020,-682,-0.49
BG,2021,-2635,-5.46
BG,2022,-3521,-6.4
BG,2023,-2785,-6.106637151253768
CZ,2012,5263,11.5
CZ,2013,4782,11.06
CZ,2014,5503,12.08
CZ,2015,4563,11.01
CZ,2016,4024,10.38
CZ,2017,4608,10.6
CZ,2018,5999,11.47
CZ,2019,6620,11.85
CZ,2020,14753,18.83
CZ,2021,17335,19.78
CZ,2022,18301,18.47
CZ,2023,25706,20.84
DK,2012,-2487,5.13
DK,2013,-1821,5.49
DK,2014,-7530,1.1
DK,2015,2223,8.23
DK,2016,3285,8.83
DK,2017,4474,9.35
DK,2018,4913,9.41
DK,2019,2386,7.89
DK,2020,3880,8.98
DK,2021,-73,6.43
DK,2022,8619,10.91
DK,2023,14535,14.12
DE,2012,166119,16.63
DE,2013,162499,16.5
DE,2014,174241,17.0
DE,2015,182188,17.16
DE,2016,187234,17.2
DE,2017,199218,17.53
DE,2018,217814,18.17
DE,2019,211023,17.8
DE,2020,327031,23.29
DE,2021,296515,21.94
DE,2022,231115,18.87
DE,2023,249974,19.21
EE,2012,4,5.32
EE,2013,213,7.1
EE,2014,165,6.44
EE,2015,424,8.34
EE,2016,348,7.36
EE,2017,483,8.08
EE,2018,1015,11.12
EE,2019,947,10.32
EE,2020,1434,13.22
EE,2021,754,8.74
EE,2022,-266,2.96
EE,2023,-261,3.25
IE,2012,8852,14.44
IE,2013,6732,12.28
IE,2014,5443,10.98
IE,2015,6963,12.09
IE,2016,7054,11.89
IE,2017,10396,14.3
IE,2018,8885,12.7
IE,2019,10956,13.84
IE,2020,28005,26.67
IE,2021,24411,22.72
IE,2022,14386,15.13
IE,2023,13803,13.34
GR,2012,-14499,-2.28
GR,2013,-15762,-4.06
GR,2014,-10106,0.26
GR,2015,-10292,-0.36
GR,2016,-10115,-0.57
GR,2017,-11136,-1.66
GR,2018,-15377,-5.63
GR,2019,-10171,-1.32
GR,2020,-6290,1.76
GR,2021,-1216,5.58
GR,2022,-12123,-2.27
GR,2023,-10614,-0.89
ES,2012,20020,6.99
ES,2013,31245,8.47
ES,2014,22440,7.15
ES,2015,30219,8.16
ES,2016,29012,7.9
ES,2017,18606,6.29
ES,2018,17057,5.98
ES,2019,38768,8.66
ES,2020,105295,17.77
ES,2021,82785,14.29
ES,2022,40782,8.97
ES,2023,73801,11.96
FR,2012,132561,15.56
FR,2013,114107,14.21
FR,2014,119106,14.52
FR,2015,113316,13.98
FR,2016,112891,13.79
FR,2017,117323,14.01
FR,2018,117066,13.87
FR,2019,130371,14.62
FR,2020,215608,20.43
FR,2021,202160,19.07
FR,2022,171233,16.83
FR,2023,190505,16.89
HR,2012,409,7.81
HR,2013,264,7.36
HR,2014,1069,10.08
HR,2015,662,8.75
HR,2016,1398,11.01
HR,2017,804,9.03
HR,2018,1112,9.68
HR,2019,1097,9.35
HR,2020,2690,13.84
HR,2021,2470,12.36
HR,2022,674,7.33
HR,2023,2857,10.97
IT,2012,21485,10.28
IT,2013,36045,11.61
IT,2014,40515,11.92
IT,2015,33197,11.2
IT,2016,35657,11.31
IT,2017,33329,10.97
IT,2018,30835,10.72
IT,2019,28957,10.52
IT,2020,111055,17.86
IT,2021,91839,15.87
IT,2022,38340,11.45
IT,2023,40717,11.27
CY,2012,-86,5.09
CY,2013,-491,2.58
CY,2014,-806,0.04
CY,2015,-549,2.15
CY,2016,-423,3.04
CY,2017,-496,2.58
CY,2018,-277,3.94
CY,2019,145,6.44
CY,2020,1277,13.76
CY,2021,1658,15.31
CY,2022,1316,12.32
CY,2023,896,9.76
LV,2012,-521,0.38
LV,2013,-1090,-3.88
LV,2014,-655,-0.17
LV,2015,-183,3.25
LV,2016,-36,4.32
LV,2017,116,5.29
LV,2018,380,6.76
LV,2019,725,8.63
LV,2020,1667,13.92
LV,2021,1100,10.45
LV,2022,-458,2.88
LV,2023,716,4.91
LT,2012,-1217,-2.09
LT,2013,-939,-0.49
LT,2014,-1241,-1.69
LT,2015,-1114,-0.96
LT,2016,-475,1.88
LT,2017,-1973,-4.05
LT,2018,-1760,-2.78
LT,2019,-640,1.63
LT,2020,2546,11.74
LT,2021,2241,10.06
LT,2022,200,4.42
LT,2023,1232,6.68
LU,2012,1169,13.2
LU,2013,1854,16.4
LU,2014,1922,16.44
LU,2015,1507,14.34
LU,2016,1262,13.0
LU,2017,1598,14.08
LU,2018,1325,12.8
LU,2019,2054,15.49
LU,2020,5064,26.88
LU,2021,2969,18.69
LU,2022,1513,13.39
LU,2023,106,8.95
HU,2012,3462,11.21
HU,2013,4537,12.86
HU,2014,4581,12.87
HU,2015,4661,12.67
HU,2016,4650,12.16
HU,2017,5571,12.65
HU,2018,8096,15.25
HU,2019,9577,16.09
HU,2020,9458,16.81
HU,2021,12942,19.37
HU,2022,11464,16.91
HU,2023,17595,20.17
MT,2012,-114,1.79
MT,2013,-29,3.67
MT,2014,-19,3.89
MT,2015,199,7.82
MT,2016,413,11.22
MT,2017,520,12.2
MT,2018,501,11.3
MT,2019,704,13.26
MT,2020,1525,23.62
MT,2021,1416,20.67
MT,2022,831,13.58
MT,2023,789,11.86
NL,2012,19484,13.46
NL,2013,20705,13.63
NL,2014,25725,14.64
NL,2015,24998,14.19
NL,2016,30936,15.44
NL,2017,22747,13.23
NL,2018,26406,13.9
NL,2019,37757,16.21
NL,2020,65170,22.41
NL,2021,53799,19.39
NL,2022,34815,14.76
NL,2023,40049,15.01
AT,2012,17460,15.04
AT,2013,13523,13.22
AT,2014,13874,13.31
AT,2015,14101,13.27
AT,2016,16525,14.05
AT,2017,14113,12.77
AT,2018,16178,13.46
AT,2019,15736,13.23
AT,2020,28928,19.32
AT,2021,24727,17.24
AT,2022,21129,14.99
AT,2023,23260,15.18
PL,2012,8500,5.75
PL,2013,11202,6.83
PL,2014,16277,8.47
PL,2015,12588,7.1
PL,2016,17081,8.76
PL,2017,11867,6.29
PL,2018,12164,6.01
PL,2019,17071,7.18
PL,2020,40052,13.59
PL,2021,14584,6.22
PL,2022,862,2.16
PL,2023,5498,3.2
PT,2012,3829,10.17
PT,2013,2907,9.35
PT,2014,-513,6.63
PT,2015,722,7.52
PT,2016,240,7.26
PT,2017,-1233,6.46
PT,2018,-1188,6.81
PT,2019,-1304,6.89
PT,2020,4773,11.84
PT,2021,2928,10.62
PT,2022,-3363,6.86
PT,2023,-2660,7.174448303499869
RO,2012,-15651,-10.53
RO,2013,-12671,-6.75
RO,2014,-14902,-9.39
RO,2015,-15304,-9.34
RO,2016,-13426,-6.53
RO,2017,-14097,-5.96
RO,2018,-21682,-11.18
RO,2019,-9345,-0.05
RO,2020,-6473,2.07
RO,2021,-12893,-1.79
RO,2022,-23932,-7.16
RO,2023,-20479,-6.32
SI,2012,79,8.77
SI,2013,643,11.4
SI,2014,725,11.68
SI,2015,830,12.09
SI,2016,1006,12.46
SI,2017,1336,13.31
SI,2018,1639,13.91
SI,2019,1830,13.83
SI,2020,4647,22.88
SI,2021,3359,17.87
SI,2022,2238,14.01
SI,2023,2812,14.79
SK,2012,740,8.22
SK,2013,359,7.53
SK,2014,928,8.64
SK,2015,1501,9.66
SK,2016,1635,9.87
SK,2017,481,7.5
SK,2018,2309,10.49
SK,2019,2030,9.95
SK,2020,3019,11.71
SK,2021,2713,11.32
SK,2022,-1274,5.78
SK,2023,610,7.44
FI,2012,1762,8.52
FI,2013,1708,8.55
FI,2014,975,7.98
FI,2015,682,7.73
FI,2016,46,7.35
FI,2017,772,8.12
FI,2018,1379,8.77
FI,2019,3591,10.6
FI,2020,7903,14.05
FI,2021,5383,12.06
FI,2022,1948,9.88
FI,2023,2304,10.26
SE,2012,27534,14.71
SE,2013,29159,14.93
SE,2014,31033,15.72
SE,2015,24883,13.29
SE,2016,28612,14.47
SE,2017,27347,13.89
SE,2018,30032,15.0
SE,2019,36130,17.03
SE,2020,36841,17.61
SE,2021,40939,17.53
SE,2022,36917,15.74
SE,2023,39943,16.93
