category_ID,country_ID,avg_consumption_MEUR
C01,AT,19462.4000
C02,AT,6119.2000
C03,AT,10495.0000
C04,AT,41312.8000
C05,AT,13608.4000
C06,AT,8298.8000
C07,AT,23935.6000
C08,AT,6194.4000
C09,AT,16928.0000
C10,AT,1725.8000
C11,AT,24038.8000
C12,AT,8280.0000
C13,AT,11693.8000
C01,BE,26656.4000
C02,BE,9389.0000
C03,BE,11652.6000
C04,BE,52725.8000
C05,BE,12485.2000
C06,BE,15127.4000
C07,BE,25668.4000
C08,BE,8215.4000
C09,BE,15694.4000
C10,BE,821.4000
C11,BE,13773.2000
C12,BE,15562.6000
C13,BE,13580.6000
C01,BG,6458.8000
C02,BG,1769.6000
C03,BG,1088.8000
C04,BG,6618.8000
C05,BG,1701.6000
C06,BG,2131.2000
C07,BG,4710.6000
C08,BG,1602.2000
C09,BG,2648.8000
C10,BG,370.4000
C11,BG,2318.4000
C12,BG,889.2000
C13,BG,1372.8000
C01,CY,1738.0000
C02,CY,734.0000
C03,CY,699.2000
C04,CY,2268.8000
C05,CY,688.6000
C06,CY,755.8000
C07,CY,2175.0000
C08,CY,513.0000
C09,CY,961.2000
C10,CY,425.2000
C11,CY,2369.2000
C12,CY,639.4000
C13,CY,708.4000
C01,CZ,14802.4000
C02,CZ,7654.6000
C03,CZ,3436.0000
C04,CZ,28361.2000
C05,CZ,4835.6000
C06,CZ,2266.2000
C07,CZ,9551.4000
C08,CZ,4214.8000
C09,CZ,6973.4000
C10,CZ,470.2000
C11,CZ,8306.6000
C12,CZ,3271.4000
C13,CZ,3898.8000
C01,DE,170560.2000
C02,DE,55176.4000
C03,DE,78308.6000
C04,DE,396198.2000
C05,DE,89838.0000
C06,DE,93636.2000
C07,DE,236241.6000
C08,DE,60791.8000
C09,DE,157772.0000
C10,DE,13646.6000
C11,DE,101466.6000
C12,DE,93922.8000
C13,DE,125926.4000
C01,DK,15433.0000
C02,DK,4633.2000
C03,DK,5756.4000
C04,DK,39482.8000
C05,DK,7227.0000
C06,DK,3936.8000
C07,DK,16002.4000
C08,DK,6929.4000
C09,DK,11332.4000
C10,DK,1058.4000
C11,DK,7967.4000
C12,DK,9225.0000
C13,DK,6762.6000
C01,EE,2419.4000
C02,EE,975.6000
C03,EE,795.0000
C04,EE,2663.8000
C05,EE,535.0000
C06,EE,401.4000
C07,EE,1432.2000
C08,EE,476.6000
C09,EE,848.2000
C10,EE,63.6000
C11,EE,975.4000
C12,EE,434.2000
C13,EE,594.6000
C01,ES,88398.4000
C02,ES,27826.4000
C03,ES,29618.6000
C04,ES,159857.4000
C05,ES,31461.0000
C06,ES,30050.0000
C07,ES,87400.2000
C08,ES,21957.2000
C09,ES,47574.4000
C10,ES,10828.2000
C11,ES,101838.8000
C12,ES,30169.6000
C13,ES,36189.2000
C01,EU,871807.6000
C02,EU,279160.8000
C03,EU,331677.2000
C04,EU,1693258.2000
C05,EU,360689.4000
C06,EU,312786.2000
C07,EU,906866.2000
C08,EU,251274.4000
C09,EU,527224.0000
C10,EU,65944.8000
C11,EU,601091.6000
C12,EU,356950.8000
C13,EU,442036.2000
C01,FR,147593.8000
C02,FR,44978.8000
C03,FR,46100.8000
C04,FR,340579.2000
C05,FR,51737.2000
C06,FR,48945.4000
C07,FR,156557.8000
C08,FR,46600.2000
C09,FR,83215.2000
C10,FR,8749.2000
C11,FR,85706.2000
C12,FR,72402.4000
C13,FR,78401.8000
C01,HU,11309.2000
C02,HU,4701.4000
C03,HU,2355.4000
C04,HU,13224.6000
C05,HU,3003.0000
C06,HU,2681.8000
C07,HU,8246.4000
C08,HU,2984.0000
C09,HU,3860.6000
C10,HU,1151.2000
C11,HU,5547.6000
C12,HU,2834.4000
C13,HU,2682.8000
C01,IE,8616.0000
C02,IE,4788.0000
C03,IE,3676.0000
C04,IE,22925.8000
C05,IE,4014.4000
C06,IE,4679.6000
C07,IE,11864.0000
C08,IE,3058.0000
C09,IE,5825.2000
C10,IE,1582.0000
C11,IE,14360.2000
C12,IE,3235.2000
C13,IE,4658.6000
C01,IT,148325.6000
C02,IT,43844.4000
C03,IT,63469.2000
C04,IT,248889.8000
C05,IT,63958.4000
C06,IT,37754.0000
C07,IT,133586.8000
C08,IT,30885.4000
C09,IT,60975.6000
C10,IT,10482.0000
C11,IT,108203.8000
C12,IT,41169.0000
C13,IT,64637.2000
C01,LV,2916.4000
C02,LV,1221.6000
C03,LV,859.0000
C04,LV,2516.0000
C05,LV,630.8000
C06,LV,776.6000
C07,LV,2050.0000
C08,LV,686.2000
C09,LV,1341.6000
C10,LV,273.0000
C11,LV,1067.8000
C12,LV,455.8000
C13,LV,628.6000
C01,MT,868.8000
C02,MT,249.2000
C03,MT,371.8000
C04,MT,942.0000
C05,MT,306.8000
C06,MT,309.4000
C07,MT,779.0000
C08,MT,264.0000
C09,MT,525.2000
C10,MT,108.6000
C11,MT,1400.8000
C12,MT,222.2000
C13,MT,358.4000
C01,NL,36884.6000
C02,NL,10882.2000
C03,NL,17135.4000
C04,NL,78899.8000
C05,NL,19782.6000
C06,NL,11292.6000
C07,NL,41656.6000
C08,NL,15808.2000
C09,NL,28401.6000
C10,NL,3097.6000
C11,NL,27406.6000
C12,NL,22740.4000
C13,NL,19600.8000
C01,PT,22366.4000
C02,PT,4202.2000
C03,PT,8285.4000
C04,PT,24191.0000
C05,PT,6219.6000
C06,PT,7058.6000
C07,PT,17737.0000
C08,PT,3882.6000
C09,PT,6829.0000
C10,PT,2030.6000
C11,PT,17148.4000
C12,PT,5262.0000
C13,PT,8692.6000
C01,SE,25489.2000
C02,SE,7276.4000
C03,SE,10079.2000
C04,SE,53509.4000
C05,SE,10827.2000
C06,SE,6691.4000
C07,SE,27733.0000
C08,SE,9367.6000
C09,SE,19610.4000
C10,SE,705.2000
C11,SE,15636.6000
C12,SE,9413.8000
C13,SE,13423.6000
C01,SI,3361.8000
C02,SI,1209.0000
C03,SI,1269.2000
C04,SI,4514.6000
C05,SI,1167.6000
C06,SI,924.8000
C07,SI,3906.0000
C08,SI,986.2000
C09,SI,1861.6000
C10,SI,301.0000
C11,SI,1730.6000
C12,SI,1132.6000
C13,SI,1279.0000
